Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,3000
1,0,1,39,3000
2,0,1,70,3000
3,0,1,93,3000
4,0,1,114,3000
5,0,1,137,3000
6,0,1,155,3000
7,0,1,174,3000
8,0,1,191,3000
9,0,1,208,3000
10,0,1,225,3000
11,0,1,241,3000
12,0,1,256,3000
13,0,1,270,3000
14,0,1,282,3000
15,0,1,295,0
16,0,1,309,0
17,0,1,323,0
18,0,1,336,0
19,0,1,350,0
20,0,1,363,0
21,0,1,375,0
22,49,1,337,0
23,80,1,319,0
24,102,1,311,0
25,125,1,302,0
26,144,1,296,0
27,150,1,303,0
28,150,1,316,0
29,150,1,328,0
30,150,1,342,0
31,150,1,353,0
32,150,1,363,0
33,150,1,375,0
34,150,1,387,0
35,150,1,400,0
36,150,1,411,0
37,150,1,423,0
38,150,1,434,0
39,150,1,446,0
40,150,1,458,0
41,150,1,470,0
42,156,1,476,0
43,206,1,439,0
44,234,1,425,0
45,255,1,419,0
46,280,1,407,0
47,296,1,406,0
48,300,1,416,0
49,300,1,431,0
50,300,1,447,0
51,300,1,461,0
52,300,1,474,0
53,300,1,488,0
54,300,1,501,0
55,300,1,516,0
56,300,1,529,0
57,300,1,542,0
58,300,1,554,0
59,300,1,565,0
60,300,1,579,0
61,300,1,591,0
62,300,1,603,0
63,327,1,587,0
64,361,1,565,0
65,383,1,554,0
66,409,1,541,0
67,430,1,535,0
68,444,1,535,0
69,450,1,545,0
70,450,1,560,0
71,450,1,572,0
72,450,1,587,0
73,450,1,600,0
74,450,1,614,0
75,450,1,628,0
76,450,1,640,0
77,450,1,653,0
78,450,12,653,0
79,450,24,653,0
80,450,35,653,0
81,450,46,653,0
82,450,56,653,0
83,450,66,653,0
84,480,62,638,0
85,512,36,645,0
86,540,19,647,0
87,563,8,648,0
88,579,2,650,0
89,593,2,649,0
90,599,4,653,0
91,599,15,653,0
92,600,23,655,0
93,600,34,655,0
94,600,45,655,0
95,600,55,657,0
96,600,67,657,0
97,600,78,657,0
98,600,88,657,0
99,600,98,657,0
100,600,110,657,0
101,600,122,657,0
102,600,131,657,0
103,600,141,657,0
104,600,151,657,0
105,631,144,642,0
106,664,109,656,0
107,687,101,653,0
108,714,83,655,0
109,729,77,659,0
110,743,74,660,0
111,748,78,662,0
112,750,88,662,0
113,755,93,664,0
114,759,103,663,0
115,764,108,665,0
116,770,115,664,0
117,779,116,664,0
118,790,107,670,0
119,795,111,670,0
120,795,120,670,0
121,800,123,670,0
122,803,130,670,0
123,805,137,670,0
124,806,144,670,0
125,807,151,670,0
126,838,147,651,0
127,870,115,659,0
128,892,96,664,0
129,922,74,664,0
130,949,60,659,0
131,970,44,660,0
132,978,39,661,0
133,980,46,661,0
134,984,52,661,0
135,984,60,662,0
136,989,63,664,0
137,995,69,662,0
138,999,74,662,0
139,1007,75,661,0
140,1013,77,661,0
141,1013,83,664,0
142,1014,92,664,0
143,1015,101,664,0
144,1016,110,664,0
145,1016,120,664,0
146,1016,129,664,0
147,1040,134,644,0
148,1076,101,651,0
149,1099,85,655,0
150,1125,65,659,0
151,1137,64,658,0
152,1164,50,656,0
153,1172,52,657,0
154,1173,62,657,0
155,1178,68,657,0
156,1179,75,659,0
157,1185,81,658,0
158,1187,87,660,0
159,1194,89,660,0
160,1201,92,660,0
161,1206,96,660,0
162,1207,106,659,0
163,1210,114,659,0
164,1211,120,661,0
165,1216,125,661,0
166,1216,134,661,0
167,1217,143,661,0
168,1223,154,655,0
169,1273,115,653,0
170,1290,96,664,0
171,1299,96,666,0
172,1337,76,660,0
173,1364,65,656,0
174,1377,63,655,0
175,1379,73,655,0
176,1380,86,654,0
177,1389,82,659,0
178,1393,90,659,0
179,1396,98,661,0
180,1402,103,661,0
181,1412,103,661,0
182,1419,107,661,0
183,1419,119,661,0
184,1422,127,661,0
185,1431,130,660,0
186,1434,138,660,0
187,1434,147,663,0
188,1435,156,663,0
189,1435,165,663,0
190,1480,133,656,0
191,1493,119,664,0
192,1514,108,665,0
193,1549,95,652,0
194,1576,74,657,0
195,1586,74,659,0
196,1596,79,656,0
197,1601,84,658,0
198,1608,89,656,0
199,1613,92,659,0
200,1614,101,661,0
201,1623,98,665,0
202,1632,98,667,0
203,1642,98,667,0
204,1644,107,667,0
205,1647,115,667,0
206,1650,124,667,0
207,1653,132,667,0
208,1653,144,667,0
209,1657,150,666,0
210,1658,160,666,0
211,1658,166,671,0
212,1713,138,656,0
213,1737,118,663,0
214,1772,110,644,0
215,1797,84,657,0
216,1809,77,664,0
217,1821,73,667,0
218,1827,80,664,0
219,1835,87,660,0
220,1842,87,663,0
221,1842,97,663,0
222,1849,103,663,0
223,1858,106,663,0
224,1868,105,664,0
225,1877,108,664,0
226,1881,117,664,0
227,1885,125,664,0
228,1889,133,664,0
229,1889,146,664,0
230,1889,159,664,0
231,1892,167,664,0
232,1894,178,663,0
233,1948,161,638,0
234,1968,131,661,0
235,1997,128,648,0
236,2030,96,660,0
237,2037,100,662,0
238,2049,95,668,0
239,2058,101,664,0
240,2060,113,663,0
241,2066,120,662,0
